Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
impresora-plotter-hp-designjet-t250-24-impresion-color-wi-fi-usb-ethernet,"Impresora Plotter HP DesignJet T250 24, Impresión Color, Wi‑Fi, USB, Ethernet",Title,Default Title,,,,,5HB06D,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
camara-argom-magic-pix-81-arg-ac-9181bl,Cámara ARGOM MAGIC PIX 81 ARG-AC-9181BL,color,Rosa,,,,,ARG-AC-9181PK,,,Sucursal Chalchuapa,,0,0,0,0,0,
camara-argom-magic-pix-81-arg-ac-9181bl,Cámara ARGOM MAGIC PIX 81 ARG-AC-9181BL,color,Rosa,,,,,ARG-AC-9181PK,,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
camara-argom-magic-pix-81-arg-ac-9181bl,Cámara ARGOM MAGIC PIX 81 ARG-AC-9181BL,color,Rosa,,,,,ARG-AC-9181PK,,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
audifono-xiaomi-redmi-buds-6-play,Audifono Xiaomi Redmi Buds 6 Play,Color,Negro,,,,,"",,,Sucursal Chalchuapa,,0,0,0,10,10,
audifono-xiaomi-redmi-buds-6-play,Audifono Xiaomi Redmi Buds 6 Play,Color,Negro,,,,,"",,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
audifono-xiaomi-redmi-buds-6-play,Audifono Xiaomi Redmi Buds 6 Play,Color,Negro,,,,,"",,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
audifono-xiaomi-redmi-buds-6-play,Audifono Xiaomi Redmi Buds 6 Play,Color,Azul,,,,,"",,,Sucursal Chalchuapa,,0,0,0,10,10,
audifono-xiaomi-redmi-buds-6-play,Audifono Xiaomi Redmi Buds 6 Play,Color,Azul,,,,,"",,,Sucursal Santa Ana Independencia,,0,0,0,0,0,
audifono-xiaomi-redmi-buds-6-play,Audifono Xiaomi Redmi Buds 6 Play,Color,Azul,,,,,"",,,Sucursal Santa Ana Zarzamora,,0,0,0,0,0,
